"問題文","選択肢1","選択肢2","選択肢3","選択肢4","選択肢5","正解","科目分類"
"(　　　 ) is an odontogenic tumor. (　　　 )に入るのはどれか。1つ選べ。[117B17-ori]","Lipoma","Fibroma","Osteoma","Cementoblastoma","Pleomorphic adenoma","d","口腔外科学"
"ある検査機器の装着時の写真を示す。 判断できるのはどれか。1つ選べ。[117B18-ori]","頻脈","高血圧","低血糖","低体温","高二酸化炭素血症","a","歯科麻酔学"
"成人よりも小児で値が低いのはどれか。1つ選べ。[117B19-ori]","血圧","体温","呼吸数","心拍数","基礎代謝量","a","小児歯科学"
"水の保持に最も関与するのはどれか。1つ選べ。[117B20-ori]","ラミニン","エラスチン","インテグリン","フィブロネクチン","グリコサミノグリカン","e","生理学・生化学"
"定型発達の2歳児へ歯科治療を行ううえで正しいのはどれか。2つ選べ。[117B21-ori]","TEACCH法を用いる。","Tell-Show-Do法を用いる。","保護者を同席させずに行う。","緊急性のある処置は短時間で行う。","体動のコントロールに重点を置く。","45","小児歯科学"
"3歳児の上顎乳中切歯への外傷で抜歯が選択されるのはどれか。2つ選べ。[117B22-ori]","露髄を伴わない歯冠破折","露髄を伴う歯冠破折","歯冠から歯槽骨縁下におよぶ歯の破折","歯頸側1/3の歯根破折","根尖側1/3の歯根破折","34","小児歯科学"
"線維性異形成症の原因遺伝子はどれか。1つ選べ。[117B23-ori]","p53","KRAS","FGFR2","GNASI","RUNX2","d","病理学"
"上顎両側中切歯の歯冠補綴を行うこととした。前処置中の口腔内写真(A、B)を示す。この前処置の目的はどれか。2つ選べ。[117B24-ori]","歯髄除去","歯根長の延長","フェルールの獲得","支台歯平行性の確保","生物学的幅径<骨縁上組織付着>の獲得","35","冠橋義歯学"
"口底部の腫瘤のH-E染色病理組織像を示す。診断名はどれか。1つ選べ。[117B25-ori]","ラヌーラ","類皮襄胞","類表皮襄胞","甲状舌管襄胞","リンパ上皮性襄胞","c","病理学"
"56歳の男性。睡眠時無呼吸症の診断のもと、内科から口腔内装置製作を依頼されて来院した。製作した装置の写真(A)と装着時の口腔内写真(B)を示す。この装置の使用で期待できるのはどれか。1つ選べ。[117B26-ori]","顎関節の安静","喉頭口の狭窄","舌の前方移動","鼻呼吸流量の低下","肺コンプライアンスの増大","c","口腔外科学"
"上顎の部分歯列欠損症例に対する義歯製作過程の写真(A)と口腔内写 真(B)を示す。クラスプは基礎床に常湿重合レジンで固定している。AからBの操作で確認するのはどれか。3つ選べ。[117B27-ori]","咬合力","咬合関係","咀嚼能力","義歯床の外形","支台装置の適合性","245","部分床義歯学"
"81歳の女性。オトガイ部の腫脹を主訴として来院した。5年前から乳癌の治療を受けており、ある薬剤が長期投与されているという。初診時のエックス線画像 (A)、CT(B)及び生検時のH-E染色病理組織像(C) を示す。病変の誘因と考えられるのはどれか。2つ選べ。[117B28-ori]","デノスマブ","シスプラチン","パクリタキセル","フルオロウラシル","アレンドロン酸ナトリウム水和物","15","薬理学"
"24歳の女性。下顎右側中切歯の動揺を主訴として来院した。咬頭嵌合位で1⏋にフレミタスがみられた。初診時の口腔内写真(A)とエックス線画像(B)を示す。初診時の歯周組織検査結果の一部を表に示す。まず行うのはどれか。2つ選べ。[117B29-ori]","咬合調整","根面被覆","歯科矯正治療","口腔衛生指導","スケーリング","45","歯周病学"
"55歳の女性。上顎左側第一大臼歯のクラウン脱離による咀嚼困難を主訴として 来院した。診察の結果、支台築造後に金属冠を装着することとした。製作した支台 築造体の写真(A)と支台築造体試適時の口腔内写真(B)を別に示す。次に示す5つのステップのうち、3番目に行うのはどれか。1つ選べ。[117B30-ori]","アの装着","イの装着","セメントの塗布","サンドブラスト処理","ポスト余剰部の削除","b","冠橋義歯学"
"ニフェジピンの標的分子はどれか。1つ選べ。[117B31-ori]","IP₃受容体","Ca²⁺チャネル","Na⁺-K⁺ポンプ","カルモジュリン","Na⁺-Ca²⁺トランスポーター","b","薬理学"
"腫脹した頸部リンパ節のH-E染色病理組織像を示す。考えられるのはどれか。1つ選べ。[117B32-ori]","結核","癌の転移","悪性リンパ腫","IgG4関連疾患","アミロイドーシス","a","病理学"
"上顎の歯を栄養する動脈が通過するのはどれか。3つ選べ。[117B33-ori]","歯槽孔","正円孔","下眼窩裂","蝶口蓋孔","翼口蓋窩","135","解剖学"
"食育基本法に規定されているのはどれか。1つ選べ。[117B34-ori]","食中毒の防止","食品の原産地表示","健全な食生活の実現","特定保健用食品の許可","食品添加物の使用範囲の制限","c","公衆衛生学"
"エッジワイズ法でアーチワイヤーを垂直方向に屈曲するのはどれか。1つ選べ。[117B35-ori]","トルク","トゥイン","インセット","オフセット","ティップバックベンド","e","歯科矯正学"
"根管治療に使用する次亜塩素酸ナトリウム溶液の性質はどれか。2つ選べ。[117B36-ori]","殺菌作用","発泡作用","化学的安定性","キレート作用","有機質溶解作用","15","歯内療法学"
"左心不全でみられるのはどれか。2つ選べ。[117B37-ori]","肝腫大","肺水腫","下腿浮腫","起座呼吸","頸静脈怒張","24","口腔外科学"
"口をもぐもぐ動かす不随意の運動が止まらないことを主訴として来院した。数年前から同様の症状が出現してきたという。口腔内に異常所見は認められなかった。関連すると考えられる薬剤はどれか。1つ選べ。[117B38-ori]","抗凝固薬","抗精神病薬","抗ウィルス薬","抗けいれん薬","副腎皮質ステロイド薬","b","薬理学"
"23歳の男性。下あごが出ていることを主訴として来院した。診断の結果、上顎両側第一小臼歯と下顎両側第三大臼歯の抜去後、下顎枝矢状分割術による外科的矯 正治療を行うこととした。初診時の顔面写真(A)、口腔内写真(B)及びエックス線画像(C)を示す。セファロ分析の結果を図に示す。術前矯正治療における治療方針の組合せで適切なのはどれか。1つ選べ。[117B39-ori]","上顎前歯の唇側傾斜 ---------上顎臼歯の頰側傾斜","上顎前歯の舌側傾斜 ---------上顎臼歯の頰側傾斜","下顎前歯の唇側傾斜 ---------下顎臼歯の頰側傾斜","下顎前歯の舌側傾斜 ---------上顎臼歯の頰側傾斜","下顎前歯の舌側傾斜 ---------下顎臼歯の舌側傾斜","c","歯科矯正学"
"50歳の男性。上顎前歯部の腫脹を主訴として来院した。1年前から自覚していたがそのままにしていたという。歯周基本治療後の再評価の結果、エナメルマトリックスタンパク質を用いた歯周組織再生療法を行うこととした。術中の口腔内写真を示す。再評価時の歯周組織検査結果の一部を表に示す。次に行う処置はどれか。1つ選べ。[117B40-ori]","縫合","根面処理","自家骨移植","不良肉芽組織除去","スケーリング・ルートプレーニング","b","歯周病学"
"抜歯症例のセットアップモデルで評価するのはどれか。2つ選べ。[117B41-ori]","咬合高径","咬頭嵌合の状態","早期接触の有無","大臼歯の近心移動量","上下顎骨の前後的関係","24","歯科矯正学"
"下顎第一乳臼歯の歯冠形態の特徴はどれか。2つ選べ。[117B42-ori]","歯頸部の狭窄が著しい。","近心窩が遠心窩より深い。","後継永久歯に類似している。","隣接歯と点接触の関係である。","近遠心幅径は男児が女児より大きい。","15","解剖学"
"75歳の男性。下顎歯肉癌に対し全身麻酔下での腫瘍切除術が予定された。全身麻酔導入後の生体情報モニタ画面の写真を示す。まず投与すべき薬剤はどれか。1つ選べ。[117B43-ori]","ニトログリセリン","リドカイン塩酸塩","エフェドリン塩酸塩","ニカルジピン塩酸塩","ランジオロール塩酸塩","c","歯科麻酔学"
"AuCu規則格子生成によって時効硬化を起こすのはどれか。2つ選べ。[117B44-ori]","白金加金","14K金合金","タイプ2金合金","陶材焼付用金合金","金銀パラジウム合金","削除問題","歯科理工学"
"口腔内スキャナーによる光学印象採得で省略できるのはどれか。1つ選べ。[117B45-ori]","感染管理","咬合採得","支台歯の乾燥","ブロックアウト","対合歯の印象採得","d","冠橋義歯学"
"電気味覚検査で正しいのはどれか。2つ選べ。[117B46-ori]","金属味を感じる。","4基本味を診断できる。","一定の電流を用いて行う。","味覚障害を定量的に評価できる。","味細胞の受容体機能を評価できる。","14","生理学"
"ウレアーゼ試験で検出されるのはどれか。1つ選べ。[117B47-ori]","Helicobacter pylori","Treponema pallidum","Streptococcus pyogenes","Porphyromonas gingivalis","Mycobacterium tuberculosis","a","微生物学"
"20歳の男性。前歯で物が咬みにくいことを主訴として来院した。診断の結果、抜歯を伴うマルチブラケット装置を用いた矯正歯科治療を行うこととした。初診時 の顔面写真(A)、口腔内写真(B)及びエックス線画像(C)を示す。セファロ分析の結果を図に示す。適切な抜歯部位(智歯を除く)はどれか。1つ選べ。[117B48-ori]","a","b","c","d","e","d","歯科矯正学"
"疾病のない者をスクリーニング検査で陽性と判定する指標はどれか。1つ選べ。[117B49-ori]","感度","特異度","偽陰性率","偽陽性率","陰性反応的中度","d","疫学"
"75歳の男性。食事時のむせを主訴として来院した。3年前に脳梗塞の診断を受けたが、認知機能の低下や四肢麻痺はなく、現在は積極的なリハビリテーションを行っていないという。食事形態はミキサー食で水分にはとろみをつけておらず、20 分程度で全量食べているとのことであった。初診時に行った改訂水飲みテストでむせを認めたが、嚥下時の喉頭挙上量は十分であった。嚥下造影検査の画像を示す。推奨されるのはどれか。3つ選べ。[117B50-ori]","頭部挙上訓練","プッシング訓練","アイスマッサージ","水分のとろみ付与","息こらえ嚥下の指導","245","口腔衛生学"
"超選択的動注化学療法は(　　　)を応用した画像診断的介入治療<IVR>である。(　　　 )に入るのはどれか。1つ選べ。[117B51-ori]","CT","MRI","PET/CT","血管造影","超音波検査","d","歯科放射線学"
"遊離歯肉移植術の治療過程を示す。②に入るのはどれか。1つ選べ。ただし、①〜⑤はa〜eのいずれかに該当する。[117B52-ori]","浸潤麻酔","移植片の採取","移植片の調整","移植片の縫合","受容側の形成","e","歯周病学"
"40歳の男性。上顎右側中切歯の審美不良を主訴として来院した。10年前に同部にクラウンを装着したが、今朝食事中に破折したという。診察の結果、前装部の補修修復を行うこととした。初診時の口腔内写真を示す。次に示す5つのステップのうち、3番目に行うのはどれか。1つ選べ。[117B53-ori]","形態修正・研磨","被着面の粗造化","プライマー処理","歯冠色レジン築盛","オペークレジン塗布","e","冠橋義歯学"
"Sjögren症候群の診断基準とされている耳下腺の画像所見はどれか。2つ選べ。[117B54-ori]","CTにおける脂肪変性","MRシアログラフィによる顆粒状像","超音波像における複数の低エコー領域","開口部からの造影検査における点状陰影","唾液腺シンチグラフィにおける機能低下","45","口腔外科学"
"14歳の男子。下顎左側臼歯部の歯肉の腫脹を主訴として来院した。3か月前から自覚していたが、徐々に増大してきたという。初診時の口腔内写真(A)、エックス線画像(B)、CT(C)及び生検時のH-E染色病理組織像(D)を示す。診断名はどれか。1つ選べ。[117B55-ori]","顎骨中心性癌","歯原性線維腫","歯原性粘液腫","エナメル上皮腫","歯原性角化襄胞","d","口腔外科学"
"65歳の女性。上顎顎義歯の脱落と鼻腔への飲み物の漏れを主訴として来院した。 使用中の顎義歯は6か月前に製作したが、装着当初から自覚していたという。栓塞部は充実型である。初診時の口腔内写真(A)、研究用模型の写真(B)及び顎義歯の写真(C)を示す。この義歯への適切な対応はどれか。3つ選べ。[117B56-ori]","⎿7にクラスプを追加する。","栓塞部を天蓋開放型とする。","義歯床の口蓋部分を削除する。","顎欠損側では対合歯との咬合接触を強くする。","栓塞部周囲に直接法で軟質リライン材を適用する。","125","全部床義歯学"
"我が国の乳児の死亡原因で最も多いのはどれか。1つ選べ。[117B57-ori]","肺炎","心疾患","不慮の事故","乳幼児突然死症候群","先天奇形、変形及び染色体異常","e","公衆衛生学"
"神経障害性疼痛に分類されるのはどれか。2つ選べ。[117B58-ori]","舌痛症","唾疝痛","三叉神経痛","ドライソケット","帯状疱疹後神経痛","35","口腔外科学"
"79歳の女性。舌の違和感を主訴として来院した。尿路感染のため内科にて1週間抗菌薬投与を受けた後、症状が出現したという。肝硬変、骨粗密症の既往があり、ビスホスホネート製剤を服用している。初診時の口腔内写真を示す。この病変の誘因と考えられるのはどれか。2つ選べ。[117B59-ori]","菌交代現象","ウィルス感染","肝機能の低下","骨密度の低下","唾液量の減少","15","口腔外科学"
"59歳の女性。下顎左側第一大臼歯の歯冠修復物脱離を主訴として来院した。2 か月前に脱離したが痛みがないためそのままにしていたという。プロービング深さは全周3mm以下で歯髄電気診に生活反応を示した。初診時の口腔内写真(A)とエックス線画像(B)を示す。まず行うのはどれか。1つ選べ。[117B60-ori]","抜髄","裏層","間接覆髄法","感染根管治療","暫間的間接覆髄法","a","歯内療法学"
"齲蝕検知液に用いられる染色成分はどれか。1つ選べ。[117B61-ori]","フロキシン","エリスロシン","アシッドレッド","メチルオレンジ","プロピレングリコール","c","保存修復学"
"認知症施策推進総合戦略<新オレンジプラン>の7つの柱に含まれるのはどれか。3つ選べ。[117B62-ori]","認知症の専門医の養成","若年性認知症施策の強化","認知症治療への経済的支援","認知症の人の介護者への支援","認知症の人やその家族の視点の重視","245","口腔衛生学"
"マルチブラケット装置を用いた矯正歯科治療中の口腔内写真を示す。矢印の歯の遠心移動に併用するのはどれか。1つ選べ。[117B63-ori]","Ⅱ級ゴム","交叉ゴム","垂直ゴム","セパレーター","エラスティツクチェーン","e","歯科矯正学"
"口唇形成術を予定した生後3か月の男児の顔貌写真を示す。 切開線の設計の際に基準点になるのはどれか。3つ選べ。[117B64-ori]","ア","イ","ウ","エ","オ","削除問題","口腔外科学"
"75歳の男性。上顎義歯の不安定による咀嚼困難を主訴として来院した。診断の結果、上顎左側前歯部の前処置後、オーバーデンチャーを製作することとした。完成した根面板の写真(A)、根面板装着後の口腔内写真(B)及び義歯床に埋め込む予定の装置の写真(C)を示す。この装置の効果はどれか。3つ選べ[117B65-ori]","一次固定","着脱方向の規制","歯根膜の感覚受容","咬合力に対する抵抗","離脱力に対する抵抗","345","全部床義歯学"
"器具の写真を示す。サードオーダーベンドの付与に用いるプライヤーはどれか。1つ選べ。[117B66-ori]","ア","イ","ウ","エ","オ","b","歯科矯正学"
"66歳の男性。下顎左側第一大臼歯の修復物脱離を主訴として来院した。2日前に食事中に脱離したという。歯髄電気診で生活反応を示した。診察の結果、メタルインレー修復を行うこととした。初診時の口腔内写真(A)とエックス線画像(5B)を示す。窩洞形成で付与すべきなのはどれか。2つ選べ。[117B67-ori]","穿下","内開き","鳩尾形","窩縁斜面","リバースカーブ","34","保存修復学"
"5歳の女児。舌をよく噛むことを主訴として来院した。同年齢の女児と比較して体格が大きく、臍帯ヘルニアと低血糖がある。初診時の舌の写真(A)と口腔内写真(B、C)を示す。適切な対応はどれか。2つ選べ。[117B68-ori]","食事指導","舌縮小術","咬合挙上板装着","上唇小帯切除術","タングクリブ装着","12","口腔外科学"
"Robinシークエンスの患者のセファロ分析で大きな値を示すのはどれか。3つ選べ。[117B69-ori]","Y軸角","顔面角","ANB 角","FH平面に対する下顎下縁平面角","FH平面に対する下顎中切歯歯軸傾斜角","134","歯科矯正学"
"歯科健康診査において、1日10本の喫煙習慣を認める妊娠初期の患者への説明で適切なのはどれか。3つ選べ。[117B70-ori]","「早産の可能性があります」","「加熱式タバコに変更しましょう」","「妊娠12週までは禁煙してください」","「歯周病を進行させる可能性があります」","「歯ぐきの色が黒くなることがあります」","145","口腔衛生学"
"舌後方部に軽度の食物残渣と「カ」行の発音の異常を認る全部床義歯装着中の84歳の男性。4年前に脳梗塞の既往がある。発音試験において、「サ」行、「タ」行 および「パ」行は明瞭であった。義歯の調整において考慮すべきなのはどれか。2つ選べ。[117B71-ori]","垂直的下顎位","水平的下顎位","S字状隆起の程度","リップサポートの程度","義歯床口蓋後方部の厚さ","15","全部床義歯学"
"上顎前歯部のインプラント埋入におけるインプラントショルダーの位置で正しいのはどれか。4つ選べ。[117B72-ori]","隣在歯とは1.5-2.0mmの距離をとる。","頰舌側に1.0 mm以上の骨の厚みをとる。","インプラント体間は3.0mm以上の距離をとる。","水平的に隣在歯の唇側から1.0 mm以上口蓋側に設定する。","垂直的に隣在歯のセメント-エナメル境から1.0mm根尖側に設定する。","1234","インプラント"
"24歳の女性。前歯の歯並びが悪いことを主訴として来院した。診断の結果、4⏊4、4⏉4の抜歯とマルチブラケット装置を用いた矯正歯科治療を行うこととした。初診時の顔面写真(A)、口腔内写真(B)及びエックス線画像(C)を示す。セファロ分析の結果を図に示す。併用するのはどれか。2つ選べ。[117B73-ori]","交叉ゴム","咬合挙上板","急速拡大装置","リンガルアーチ","歯科矯正用アンカースクリュー","45","歯科矯正学"
"75歳の男性。1週前に装着した上顎全部床義歯の使用時の疼痛を主訴として来院した。適合試験材を義歯に塗布し、下顎の側方運動を行わせた。来院時の口腔内写真(A)、側方運動時の顔貌写真(B)及び運動後の義歯の写 真(C)を示す。疼痛の誘因となっているのはどれか。1つ選べ。[117B74-ori]","頰骨弓","筋突起","関節突起","茎状突起","翼状突起","b","全部床義歯学"
"常温重合レジンの個歯トレーを用いた印象法で正しいのはどれか。2つ選べ。[117B75-ori]","接着材の塗布は不要である。","寒天・アルジネート連合印象法を用いる。","個歯トレーの外側にリムーバルノブを付与する。","支台歯と個歯トレー内面間の印象材を薄く均一にできる。","印象撤去時の隣在歯アンダーカットによる変形を防止できる。","45","冠橋義歯学"
"高口蓋を呈するのはどれか。3つ選べ。[117B76-ori]","Down症候群","Turner症候群","Crouzon症候群","Klinefelter症候群","Papillon-Lefevre症候群","123","口腔外科学"
"顎整形カを発揮する矯正装置はどれか。すべて選べ。[117B77-ori]","ヘッドギア","急速拡大装置","チンキャップ","マルチブラケット装置","Nanceのホールディングアーチ","123","歯科矯正学"
"4歳の男児。上顎乳前歯部の歯肉腫脹を主訴として来院した。1年前に同部を転 倒により強打したという。⎿Aに対する治療方針として保護者に抜歯の必要性を説明したが、抜歯はしたくないという。初診時の口腔内写真(A)とエック ス線画像(B)を示す。このまま抜歯を行わない場合に起こりうる⎿1の異常はどれか。2つ選べ。[117B78-ori]","埋伏","歯根吸収","歯髄壊死","歯髄腔狭窄","萌出位置異常","15","小児歯科学"
"歯科医師が身元確認のために作成するのはどれか。1つ選べ。[117B79-ori]","診療録","死体検案書","死亡診断書","診断用模型","デンタルチャート","e","公衆衛生学"
"人工弁置換術を受けた患者の抜歯後に注意すべき症状はどれか。3つ選べ。[117B80-ori]","喘鳴","発熱","倦怠感","けいれん","呼吸困難","235","口腔外科学"
"下顎骨を形成する鰓弓<咽頭弓>から発生するのはどれか。1つ選べ。[117B81-ori]","咬筋","口輪筋","茎突舌骨筋","オトガイ舌筋","上咽頭収縮筋","a","解剖学"
"バソプレシンを分泌する神経細胞の細胞体が存在するのはどれか。1つ選べ。[117B82-ori]","海馬","視床","視床下部","下垂体前葉","下垂体後葉","c","生理学"
"28歳の女性。開口困難を主訴として来院した。2年前から左側顎関節部の疼痛を自覚し、近医でスプリント療法を受けていたが、開口量が2横指まで減少してきたという。初診時のエックス線画像(A)、左側顎関節部のCT(B)、MRI(C)及び切除物のH-E染色病理組織像(D)を示す。診断名はどれか。1つ選べ。[117B83-ori]","骨腫","骨肉腫","変形性顎関節症","滑膜性骨軟骨腫症","リウマチ性顎関節炎","d","口腔外科学"
"認知症の周辺症状はどれか。2つ選べ。[117B84-ori]","失語","徘徊","抑うつ","記憶障害","見当識障害","23","口腔衛生学"
"44歳の女性。上下顎前歯部の歯肉腫脹とブラッシング時の出血を主訴として来院した。6か月前から自覚していたがそのままにしていたという。初診時の口腔内写真(A)とエックス線画像(B)を示す。初診時の歯周組織検査結果の一部を表に示す。スケーリング・ルートプレーニングによって下顎前歯部に起こり得るのはどれか。4つ選べ。[117B85-ori]","歯肉退縮","動揺度の増加","角化歯肉の増大","象牙質知覚過敏","歯間鼓形空隙の増加","1245","歯周病学"
"人口動態統計における日本人の死亡場所別にみた上位2か所の死亡数の推移を図に示す。アとイの組合せで正しいのはどれか。1つ選べ。[117B86-ori]","自宅 ------- 病院","自宅 ------- 診療所","病院 ------- 自宅","病院 ------- 診療所","診療所 ------- 病院","c","公衆衛生学"
"矯正装置の写真を示す。治療後に増加するのはどれか。2つ選べ。[117B87-ori]","FMA","Y軸角","顔面角","SNA 角","SNB 角","12","歯科矯正学"
"全部鋳造冠修復と比較した乳歯用既製金属冠修復の特徴はどれか。2つ選べ。[117B88-ori]","耐摩耗性に優れる。","歯頚部の適合が良い。","歯質の削除量が少ない。","即日修復が可能である。","接触点の回復が容易である。","34","小児歯科学"
"23歳の男性。上顎左側前歯部の疼痛を主訴として来院した。含歯性襄胞と診断し、埋伏過剰歯抜去•襄胞摘出術を行うこととした。初診時の口腔内写真(A)、エックス線画像(B)及び手術に使用する器具の写真(C)を示す。器具を使用する順に並べよ。[117B89-ori]","ア","イ","ウ","エ","オ","42513","口腔外科学"
"9歳の女児。口腔粘膜の異常を主訴として来院した。3日前から発熱があり、その後口腔内症状が発現したという。水分摂取時に疼痛があり、口臭を認める。初診時の口腔内写真(A)と口唇の写真(B)を示す。原因として考えられるのはどれか。1つ選べ。[117B90-ori]","水痘ウィルス","風疹ウィルス","麻疹ウィルス","単純疱疹ウィルス","ムンプスウィルス","4","口腔外科学"
"歯肉炎と歯周炎を鑑別する所見はどれか。1つ選べ。[117C1-ori]","歯肉腫脹","歯肉出血","歯肉の発赤","真性ポケット","スティップリング","d","歯周病学"
"口内法エックス線撮影の補助具の写真を示す。使用目的はどれか。1つ選べ。[117C2-ori]","線量の調整","頭部の固定","検出器の保持","散乱線の除去","画像コントラストの向上","c","歯科放射線学"
"下顎の低形成を特徴とするのはどれか。1つ選べ。[117C3-ori]","Marfan症候群","先天性表皮水疱症","Papillon-Lefevre 症候群","Treacher-Collins 症候群","Beckwith-Wiedemann 症候群","d","歯科矯正学"
"アドレナリンの薬理作用はどれか。1つ選べ。[117C4-ori]","強心作用","筋弛緩作用","抗不整脈作用","血小板凝集抑制作用","ヒスタミン遊離作用","a","薬理学"
"市町村が要介護•要支援の二次判定を行うのはどれか。1つ選べ。[117C5-ori]","地域ケア会議","介護認定審査会","介護保険審査会","社会福祉協議会","社会保障審議会","b","衛生学"
"酵素共役型受容体に作用するのはどれか。1つ選べ。[117C6-ori]","インスリン","アドレナリン","アセチルコリン","アルドステロン","γーアミノ酪酸(GABA)","a","薬理学"
"(        )is the voluntary agreement given by a patient for treatment regimen after being informed of the purpose, methods, benefits, and risks.(        )に入るのはどれか。1つ選べ。[117C7-ori]","Clinical pathway","End of life care","Informed consent","Paternalism","Second opinion","c","一般教養"
"健康の社会的決定要因はどれか。1つ選べ。[117C8-ori]","遺伝","教育","年齢","生活習慣","保健行動","b","衛生学"
"母子健康手帳の省令様式において、妊娠中と産後の歯科の記載事項はどれか。 2つ選べ。[117C9-ori]","口臭","歯肉の炎症","顎関節の異常","歯列咬合の異常","要治療のむし歯","25","衛生学"
"RANKを発現するのはどれか。1つ選べ。[117C10-ori]","骨芽細胞","破骨細胞","線維芽細胞","象牙芽細胞","血管内皮細胞","b","解剖・組織学"
"応力-ひずみ曲線図のHooke <フック>の法則が成立する範囲において、応力をひずみで除して求めるのはどれか。1つ選べ。[117C11-ori]","靭性","耐力","弾性限","弾性係数","レジリエンス","d","歯科理工学"
"顎態模型の基準平面はどれか。2つ選べ。[117C12-ori]","眼窩平面","顔面平面","口蓋平面","咬合平面","フランクフルト平面","15","歯科矯正学"
"イオンチャネルを遮断するのはどれか。1つ選べ。[117C13-ori]","ミダゾラム","プレドニゾロン","プロピトカイン塩酸塩","ミノサイクリン塩酸塩","ロキソプロフェンナトリウム水和物","c","薬理学"
"口腔内写真を示す。Hellmanの歯齢はどれか。1つ選べ。[117C14-ori]","Ⅲ A 期","Ⅲ B 期","Ⅲ C 期","Ⅳ A 期","Ⅳ C 期","c","小児歯科学"
"診療に関する記録と法令で義務付けられている保存期間の組合せで正しいのは どれか。1つ選べ。[117C15-ori]","照射録 -------------------- 5年","処方箋 -------------------- 5年","診療録 -------------------- 3年","歯科技工指示書 ------------ 5年","歯科衛生士の業務記録 ------ 3年","e","衛生学"
"成人と比べて小児で高値を示すのはどれか。1つ選べ。[117C16-ori]","ALP","赤血球","尿素窒素","ヘモグロビン","ヘマトクリット","a","内科学"
"口呼吸を伴う骨格性Ⅱ級にみられるのはどれか。1つ選べ。[117C17-ori]","上顎前歯の舌側傾斜","下顎前歯の舌側傾斜","下顎下縁平面角の過大","咬合平面傾斜角の過小","負のオーバージエット","c","歯科矯正学"
"栓状歯の形成と同じ時期に生じるのはどれか。1つ選べ。[117C18-ori]","先天歯","低位歯","斑状歯","埋伏歯","Fournier 歯","e","解剖・組織学"
"成人において放射線の確定的影響<組織反応>が生じる最低線量はどれか。 1つ選べ。[117C19-ori]","0.0005 Gy","0.005 Gy","0.05 Gy","0.5 Gy","5 Gy","d","歯科放射線学"
"生後、ミュータンスレンサ球菌が定着しやすい時期はどれか。1つ選べ。[117C20-ori]","0～ 6か月","8～16か月","19〜31か月","34〜44か月","48〜54か月","c","微生物学"
"各種合着•接着用セメントの引張強さとエナメル質との接着強さを図に示す。エはどれか。1つ選べ。ただし、ア～オはa〜eのいずれかに該当する。[117C21-ori]","EBAセメント","レジンセメント","リン酸亜鉛セメント","グラスアイオノマーセメント","ポリカルボキシレートセメント","d","歯科理工学"
"22歳の男性。下顎の前突感を主訴として来院した。診断の結果、下顎枝矢状分割術による外科的矯正治療を行うこととした。初診時の顔面写真(A)、 口腔内写真(B)及びエックス線画像(C)を示す。セファロ分析の結果を図に示す。適切な抜歯部位はどれか。1つ選べ。[117C22-ori]","4⏊4","5⏉5","7⏊7","4⏊4、4⏉4","5⏊5、4⏉4","d","歯科矯正学"
"根管イスムスの確認に有効なのはどれか。2つ選べ。[117C23-ori]","電気的根管長測定","マイクロスコープ","口内法エックス線撮影","レーザー蛍光強度測定","歯科用コーンビームCT","25","歯内療法学"
"82歳の女性。上下顎全部床義歯の製作を希望して来院した。5年前に左側下顎歯肉癌で、下顎区域切除術と腹直筋皮弁を用いた即時再建術および放射線治療が施行されたという。診察の結果、義歯を製作することとした。初診時の口腔内写真 (A)とエックス線画像(B)を示す。適切な対応はどれか。3つ選べ。[117C24-ori]","健側を主体とした咀嚼方法の指導","右側下顎骨へのインプラントの埋入","ニュートラルゾーンへの人工歯の排列","上顎義歯へのオクルーザルランプの付与","皮弁で覆われた顎欠損部に対する加圧印象","134","全部床義歯学"
"右側顎下部の腫脹を主訴として来院した13歳男子の初診時の口腔外写真(A)とMRI T2強調像(B)を示す。本疾患の発症に関連するのはどれか。1つ選べ。[117C25-ori]","顎下腺","舌下腺","顔面静脈","Wharton 管","顎下リンパ節","b","口腔外科学"
"摂食嚥下障害患者に対して行う間接訓練の様子を示す。この訓練によって改善を目指すのはどれか。1つ選べ。[117C26-ori]","咬合力","口唇閉鎖","声門閉鎖","舌可動域","唾液分泌","c","口腔衛生学"
"虐待を受けた疑いがある児童が来院した。児童虐待の防止等に関する法律に規定されている通告先はどれか。2つ選べ。[117C27-ori]","警察署","保健所","児童相談所","福祉事務所","学校保健委員会","34","公衆衛生学"
"38歳の女性。下顎左側第一小臼歯の咬合痛と違和感を主訴として来院した。10 か月前から自覚していたがそのままにしていたという。歯周基本治療後の再評価の結果、FGF-2製剤を応用した歯周組織再生療法を行うこととした。初診時の口腔内写真(A)とエックス線画像(B)を示す。初診時の歯周組織検査結果の一部を表に示す。歯周組織再生療法に先立って行う処置はどれか。1つ選べ。[117C28-ori]","暫間固定","小帯切除術","感染根管治療","オドントプラスティ","局所薬物配送システム<LDDS>","c","歯周病学"
"腫瘍類似疾患はどれか。1つ選べ。[117C29-ori]","神経鞘腫","動静脈奇形","粘液線維腫","セメント芽細胞腫","Langerhans細胞組織球症","削除問題","病理学"
